OA_CODE,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00103303,61,2,2,3,5,-,1,2,5,1,12,13,3,4,4,2,2,42.3,44
S00103304,153,11,8,4,8,1,5,2,6,7,31,39,10,11,6,3,1,39.6,42
S00103305,73,3,1,4,5,-,3,1,1,-,17,30,5,2,-,1,-,40.5,46
S00103306,86,4,7,2,7,2,1,2,1,3,15,24,7,6,4,1,-,40.1,43
S00103307,86,1,-,1,4,-,4,2,-,3,12,35,5,7,11,1,-,49.6,51
S00103308,78,3,1,-,2,-,3,3,6,6,15,25,3,7,3,-,1,41.4,44
S00103309,174,8,5,6,12,1,5,6,3,5,31,47,18,19,7,1,-,42,47
S00103310,57,4,1,1,7,2,2,-,3,2,9,16,1,3,5,1,-,38.9,44
S00103311,190,12,6,5,14,3,1,4,7,9,44,53,11,17,3,1,-,38.3,41
S00103312,122,15,2,1,6,3,3,1,8,18,48,16,-,1,-,-,-,29.1,32
S00103313,166,19,4,1,8,2,2,4,4,3,41,46,14,13,5,-,-,39.6,44
S00103314,90,-,-,-,1,-,1,4,45,10,7,13,2,3,1,3,-,32.9,23
S00103315,242,2,1,-,2,-,1,23,96,25,56,25,5,3,2,1,-,30.2,24
S00103316,246,6,-,2,3,-,4,50,102,36,25,13,3,-,2,-,-,24.8,21
S00103317,66,1,-,-,1,-,1,9,16,13,13,5,2,-,4,1,-,32.6,27
S00103318,125,3,-,2,2,-,1,7,34,16,26,19,4,8,2,1,-,34.4,29
S00103319,86,-,1,1,4,-,-,2,16,22,29,7,1,2,1,-,-,31.3,27
S00103320,117,-,-,-,-,1,-,4,36,33,26,12,2,3,-,-,-,31,27
S00103321,64,4,-,-,-,-,-,1,26,16,10,4,1,1,1,-,-,27.4,25
S00103322,68,1,-,1,1,1,-,3,12,12,16,14,2,2,1,2,-,36.8,31
S00103323,106,1,-,-,-,-,-,7,48,17,21,7,3,2,-,-,-,28.6,24
S00103324,67,3,3,1,1,-,2,3,13,10,18,9,4,-,-,-,-,30.6,29
S00103325,130,7,2,1,1,-,5,10,28,21,24,20,6,3,1,1,-,31.8,27
S00103326,106,4,4,-,5,1,3,3,30,20,20,12,2,2,-,-,-,28.5,25
S00103327,111,2,-,-,2,1,-,-,25,31,38,8,-,2,-,2,-,31.3,28
S00103328,69,5,1,1,1,-,-,-,21,3,14,11,3,5,4,-,-,36.5,33
S00103329,103,2,2,-,4,-,-,1,11,11,43,21,1,3,4,-,-,37.8,36
S00103330,53,3,-,-,3,-,-,2,4,5,12,13,3,5,2,1,-,41.3,40
S00103331,91,7,3,1,1,-,-,-,14,10,15,14,12,8,3,3,-,40.9,36
S00103332,251,3,2,-,-,-,1,5,102,78,40,13,2,2,2,-,1,28.1,25
S00103333,75,-,-,-,-,-,-,6,20,19,13,12,2,1,2,-,-,33.1,28
S00103334,60,1,-,-,-,-,-,1,19,11,15,5,2,2,4,-,-,34.9,28
S00103335,104,1,-,-,1,-,1,1,18,20,36,9,10,3,4,-,-,37.5,32
S00103336,87,2,-,-,4,3,1,3,10,11,17,25,4,3,2,2,-,39.2,43
S00103337,55,-,-,-,-,1,-,1,18,11,13,7,3,1,-,-,-,32.2,26
S00103338,158,3,-,1,-,-,-,23,60,28,20,11,6,2,3,1,-,29.2,24
S00103339,76,6,2,5,2,-,1,3,10,17,22,8,-,-,-,-,-,27.2,27
S00103340,81,2,-,1,-,-,-,-,6,14,32,10,4,9,3,-,-,40.5,36
S00103341,98,-,-,-,-,-,-,-,29,23,21,17,3,1,2,2,-,35.1,28
S00103342,127,2,4,1,2,-,-,4,20,17,35,22,9,8,3,-,-,37.9,34
S00103343,88,-,1,-,2,-,-,3,20,25,18,10,3,4,2,-,-,33.1,28
S00103344,159,7,4,5,1,1,-,7,21,22,55,25,7,4,-,-,-,32.9,32
S00103345,67,6,-,-,2,2,-,4,8,10,30,2,2,-,-,-,1,29.3,30
S00103346,94,3,1,-,2,1,5,3,26,8,14,17,9,3,1,-,1,35.1,27
S00103347,159,7,3,3,4,1,-,2,65,13,25,19,6,7,3,1,-,31.3,23
S00103348,109,-,1,-,1,-,1,8,45,23,17,8,3,1,1,-,-,28.4,24
S00103349,92,-,1,1,2,1,1,-,33,16,20,9,5,2,1,-,-,31.8,26
S00103350,98,3,-,-,-,-,-,5,42,17,18,7,2,3,1,-,-,29.7,24
S00103351,81,2,-,-,-,1,2,2,17,16,21,10,5,3,2,-,-,35,30
S00103352,73,1,-,-,-,-,2,2,27,12,13,11,3,2,-,-,-,32.3,27
S00103353,154,5,1,-,-,-,-,2,37,36,44,19,4,4,2,-,-,33,29
S00103354,110,5,1,1,1,1,2,3,5,27,39,13,1,6,3,1,1,35.3,31
S00103355,104,5,-,-,1,-,1,-,2,32,35,15,-,6,5,1,1,37.9,33
S00103356,80,-,-,-,-,-,-,2,4,5,10,8,9,17,19,2,4,59.8,66
S00103357,85,1,-,-,1,-,1,2,10,15,25,22,2,1,4,1,-,39.1,37
S00103358,99,1,-,-,-,-,-,2,20,30,30,10,4,1,1,-,-,32.9,29
S00103359,90,6,1,-,-,-,-,2,5,10,30,18,1,6,10,1,-,41.8,40
S00103360,134,10,2,1,7,2,4,1,9,8,34,28,13,13,2,-,-,38.8,40
S00103361,96,1,1,-,3,-,-,1,4,17,25,23,6,8,5,1,1,43.7,41
S00103362,95,4,1,2,1,-,2,2,4,8,32,19,7,8,5,-,-,41,37
S00103363,89,3,1,1,1,2,1,-,2,11,25,23,10,5,2,2,-,42.8,43
S00103364,121,3,1,8,11,2,10,4,8,5,7,40,6,4,5,5,2,39,45
S00103365,115,2,4,3,10,1,3,1,3,7,15,31,9,12,10,3,1,45.2,47
S00103366,119,11,8,-,6,2,4,1,4,1,19,18,8,19,11,6,1,45.2,48
S00103367,68,3,2,1,3,-,1,-,4,3,5,21,2,12,6,2,3,50.4,55
S00103368,139,11,2,2,4,1,5,4,5,2,37,37,15,10,4,-,-,40.4,43
S00103369,157,8,3,2,8,4,6,-,7,8,24,37,13,11,14,4,8,46,48
S00103370,103,8,2,2,-,-,1,1,6,10,40,21,7,2,1,2,-,37.2,37
S00103371,81,5,1,-,-,-,-,1,3,2,28,21,2,8,8,1,1,46.2,45
S00103372,88,6,1,1,1,-,1,2,4,10,19,19,5,11,6,1,1,44.3,43
S00103373,133,8,1,-,3,2,1,1,24,16,40,27,4,1,3,2,-,34.8,33
S00103374,76,2,-,-,-,-,1,-,12,24,17,14,1,3,1,1,-,35.4,29
S00103375,117,2,-,1,1,-,1,2,19,22,34,22,6,3,4,-,-,37.2,33
S00103376,58,-,-,-,3,-,-,-,-,11,21,14,5,3,1,-,-,41.3,36
S00103377,98,9,4,1,-,2,-,2,12,15,28,17,2,4,-,2,-,32.5,30
S00103378,134,2,2,1,2,-,2,1,22,35,38,22,3,2,1,-,1,33.4,30
S00103379,95,5,2,2,3,-,3,2,3,7,38,19,3,1,5,1,1,38.1,38
S00103380,96,5,2,1,3,-,-,2,8,18,25,18,9,3,2,-,-,36.3,34
S00103381,104,3,2,-,2,1,-,1,14,20,25,21,6,5,2,1,1,38.2,35
S00103382,108,6,-,-,-,-,1,1,25,33,29,10,-,2,1,-,-,30,28
S00103383,107,5,1,1,6,4,1,5,5,10,24,29,3,5,7,-,1,38.5,36
S00103384,129,8,6,4,2,1,1,-,14,21,34,18,11,6,2,1,-,34.5,31
S00103385,80,2,-,-,1,-,-,-,6,26,27,13,1,3,1,-,-,35.3,31
S00103386,89,4,1,-,-,-,-,-,7,19,31,15,3,3,5,1,-,38,33
S00103387,70,2,-,2,1,-,-,-,8,21,24,7,2,1,2,-,-,33.4,30
S00103388,79,5,-,1,1,-,-,-,5,20,31,13,-,3,-,-,-,33.6,31
S00103389,104,2,-,1,1,-,-,-,11,18,40,22,3,6,-,-,-,37.2,34
S00103390,137,5,5,1,9,-,2,3,8,12,29,25,11,18,8,1,-,42.4,43
S00103391,65,-,-,1,4,-,1,4,4,11,11,19,3,4,2,-,1,40.5,40
S00103392,125,6,5,1,6,1,2,-,13,14,36,26,5,5,2,3,-,37.2,35
S00103393,109,3,2,3,10,2,5,2,2,6,24,26,3,8,12,1,-,41.5,43
S00103394,102,3,1,-,5,1,2,3,4,3,10,33,6,11,15,4,1,51.1,54
S00103395,65,3,2,1,1,-,-,-,7,3,15,7,6,7,9,4,-,47.2,45
S00103396,70,2,2,-,-,-,-,-,2,14,12,12,9,7,9,-,1,48.3,50
S00103397,84,2,1,1,3,1,2,1,2,-,15,24,10,11,7,2,2,51.2,53
S00103398,84,7,3,2,5,1,2,1,3,2,23,15,3,8,8,-,1,39.8,39
S00103399,82,4,1,3,3,-,2,-,1,3,14,24,7,11,8,1,-,47.4,48
S00103400,90,3,2,1,2,-,2,1,6,7,27,27,3,5,4,-,-,40,40
S00103401,69,7,3,4,1,-,2,2,1,1,16,9,2,10,7,1,3,43.2,42
S00103402,84,-,-,-,-,-,-,-,-,1,2,3,2,19,28,15,14,78,82
S00103403,76,1,1,-,3,-,1,1,3,11,27,21,2,3,2,-,-,39.5,38
S00103404,84,-,-,1,-,-,-,5,9,15,33,14,4,1,2,-,-,36.8,34
S00103405,134,8,4,4,4,1,2,1,9,15,54,20,5,4,1,1,1,34.5,35
S00103406,125,3,2,4,11,2,2,2,2,-,13,21,5,29,20,6,3,53.2,61
S00103407,70,3,1,1,1,-,-,2,4,8,31,12,4,2,-,1,-,36.3,34
S00103408,104,3,4,1,3,1,-,6,15,5,23,24,1,10,4,3,1,40.7,40
S00103409,99,-,3,3,2,1,-,3,3,8,20,19,14,15,8,-,-,47.1,46
S00103410,97,3,3,1,6,-,-,1,2,6,20,22,11,12,8,-,2,47,49
S00103411,77,6,-,1,4,1,1,1,11,17,17,9,3,6,-,-,-,32.3,28
S00103412,77,-,1,1,3,2,1,2,5,4,14,18,6,9,7,2,2,48.3,50
S00103413,108,4,1,2,4,2,1,-,8,15,27,22,4,4,8,3,3,42.5,41
S00103414,85,1,2,-,2,-,2,-,9,2,10,22,14,15,5,1,-,50.5,57
S00103415,128,3,-,5,9,1,3,2,10,10,21,36,10,10,5,3,-,41.9,45
S00103416,116,3,1,1,2,1,1,1,14,13,22,24,14,10,6,1,2,43.5,43
