,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00103303,41,5,23,3,-,-,2,1,2,5,-,-,-,-,-
S00103304,111,19,51,15,5,3,7,5,3,2,1,-,1,-,2
S00103305,59,8,21,16,-,2,4,2,3,1,2,-,-,-,-
S00103306,59,9,18,15,1,2,7,1,4,1,1,-,1,-,-
S00103307,68,9,23,13,-,1,9,4,3,6,-,-,-,-,-
S00103308,68,8,22,11,4,4,6,6,1,3,3,1,1,1,2
S00103309,134,15,49,14,8,5,26,6,4,5,2,1,1,1,6
S00103310,36,7,22,-,1,1,3,1,1,-,-,1,-,-,-
S00103311,146,13,70,23,1,1,21,6,6,3,2,-,-,-,1
S00103312,95,12,61,2,5,-,1,3,8,1,2,-,-,-,2
S00103313,127,12,61,18,5,2,19,3,5,-,2,1,3,-,3
S00103314,85,5,14,2,2,19,2,32,-,4,5,1,-,-,-
S00103315,234,16,49,10,9,32,8,88,2,17,3,3,-,1,4
S00103316,233,7,18,7,5,51,4,125,2,8,6,1,1,1,-
S00103317,59,6,18,2,3,12,2,14,-,2,-,1,-,-,1
S00103318,115,7,34,8,7,12,8,26,2,10,1,1,3,-,2
S00103319,79,6,34,7,3,10,2,13,-,2,2,-,-,-,1
S00103320,116,6,29,9,1,9,2,52,1,5,2,-,-,-,1
S00103321,59,2,13,1,-,2,1,36,2,2,-,-,-,-,-
S00103322,61,3,19,4,7,4,3,14,2,4,1,-,1,-,3
S00103323,105,6,28,7,3,17,1,41,-,1,1,-,-,-,2
S00103324,59,5,21,6,3,10,2,10,2,-,-,-,1,-,2
S00103325,117,7,38,7,6,16,4,27,9,1,2,-,4,-,4
S00103326,92,5,37,6,4,9,5,18,3,5,-,1,-,-,-
S00103327,104,6,45,5,6,10,2,24,2,3,1,1,-,1,3
S00103328,57,-,19,3,1,6,8,14,2,4,-,-,-,-,1
S00103329,91,5,24,9,10,5,4,11,3,16,4,3,-,1,5
S00103330,44,2,12,9,1,-,5,4,8,2,1,1,-,1,-
S00103331,73,9,22,3,5,7,8,9,4,5,1,-,2,-,1
S00103332,243,5,28,9,4,21,2,169,3,1,1,2,1,-,2
S00103333,73,1,24,5,3,6,-,29,3,1,1,1,-,1,-
S00103334,55,2,17,7,-,5,2,15,2,1,4,-,-,-,-
S00103335,98,8,44,12,2,3,6,18,-,5,-,-,-,-,1
S00103336,74,9,23,9,6,8,5,2,3,6,3,3,2,2,2
S00103337,54,4,15,3,1,10,1,14,2,2,2,1,-,-,-
S00103338,150,6,37,7,3,19,3,73,-,-,2,2,-,1,2
S00103339,61,4,24,3,3,7,-,8,5,4,3,-,2,-,2
S00103340,75,7,31,10,5,6,7,2,1,5,1,-,-,-,1
S00103341,94,1,53,8,3,7,1,16,2,2,1,-,1,-,2
S00103342,115,11,47,16,-,9,7,20,1,-,4,-,-,-,-
S00103343,83,4,44,10,-,5,2,18,-,-,-,-,-,-,-
S00103344,141,3,58,23,2,17,6,21,4,4,3,-,-,-,1
S00103345,56,3,24,14,-,7,-,5,3,-,-,-,-,-,-
S00103346,85,11,32,10,4,8,3,15,1,-,1,3,1,2,1
S00103347,137,5,21,16,2,22,6,52,6,1,6,1,-,-,1
S00103348,106,5,27,14,2,16,-,41,-,-,1,-,-,-,-
S00103349,86,9,34,5,10,3,4,18,1,1,1,2,1,1,1
