,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00103303,61,61,50,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103304,153,149,127,16,4,-,-,2,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103305,73,73,50,20,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103306,86,83,63,20,-,-,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103307,86,86,61,20,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103308,78,73,63,3,1,-,2,4,-,4,-,-,-,1,3,-,-,-,-,-,-,-,1,1,-
S00103309,174,171,130,34,2,-,-,5,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00103310,57,55,48,3,-,-,-,4,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103311,190,186,149,28,-,3,3,3,-,3,-,-,-,3,-,-,-,-,1,-,1,-,-,-,-
S00103312,122,117,59,53,1,-,1,3,2,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-
S00103313,166,165,122,37,1,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103314,90,80,41,19,3,-,1,16,-,10,3,1,-,2,4,-,-,-,-,-,-,-,-,-,-
S00103315,242,201,113,39,6,-,7,36,3,23,1,2,1,13,6,4,3,1,1,1,-,-,10,5,5
S00103316,246,170,74,46,4,1,8,37,6,54,8,5,2,32,7,8,8,-,2,-,2,-,6,2,4
S00103317,66,59,28,11,1,-,9,10,2,3,-,-,-,3,-,1,1,-,-,-,-,-,1,1,-
S00103318,125,108,63,24,6,-,2,13,1,16,-,7,-,9,-,-,-,-,-,-,-,-,-,-,-
