,All people aged 16 and over,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00103303,49,12,11,5,5,16
S00103304,121,21,44,15,10,31
S00103305,60,7,15,7,6,25
S00103306,64,9,7,7,3,38
S00103307,80,17,12,4,6,41
S00103308,72,12,24,5,3,28
S00103309,142,28,35,20,10,49
S00103310,42,8,4,10,8,12
S00103311,150,19,21,30,11,69
S00103312,95,5,22,16,8,44
S00103313,132,14,18,24,13,63
S00103314,89,11,6,39,3,30
S00103315,237,27,33,68,15,94
S00103316,235,10,30,115,15,65
S00103317,64,10,4,22,7,21
S00103318,118,8,21,21,5,63
S00103319,80,3,3,19,3,52
S00103320,116,2,11,25,4,74
S00103321,60,2,10,9,7,32
S00103322,64,13,6,12,2,31
S00103323,105,6,6,39,9,45
S00103324,59,2,2,7,3,45
S00103325,119,2,16,32,9,60
S00103326,92,5,10,16,3,58
S00103327,106,4,9,17,7,69
S00103328,61,12,9,12,8,20
S00103329,95,22,15,11,4,43
S00103330,47,5,7,3,4,28
S00103331,79,14,7,9,5,44
S00103332,246,8,20,22,7,189
S00103333,75,6,3,22,7,37
S00103334,59,6,4,15,4,30
S00103335,102,5,7,17,8,65
S00103336,78,15,13,15,6,29
S00103337,54,7,3,11,4,29
S00103338,154,5,14,30,8,97
S00103339,61,6,6,11,6,32
S00103340,78,6,15,12,11,34
S00103341,98,9,8,14,8,59
S00103342,118,5,14,25,4,70
S00103343,85,-,4,20,1,60
S00103344,141,8,15,15,7,96
S00103345,57,2,1,8,6,40
S00103346,87,1,12,21,5,48
S00103347,141,4,8,46,6,77
S00103348,107,2,6,35,11,53
S00103349,87,6,5,18,4,54
S00103350,95,4,3,30,5,53
S00103351,78,-,5,15,6,52
S00103352,72,2,14,11,9,36
S00103353,148,10,14,19,14,91
S00103354,101,4,17,6,11,63
S00103355,98,7,9,5,12,65
S00103356,80,35,6,4,2,33
S00103357,83,2,5,9,10,57
S00103358,98,4,8,13,9,64
S00103359,83,-,2,15,8,58
S00103360,112,6,6,6,3,91
S00103361,91,2,6,7,8,68
S00103362,87,4,6,10,5,62
S00103363,81,5,8,7,3,58
S00103364,96,7,15,12,5,57
S00103365,95,4,5,11,2,73
S00103366,92,9,9,14,1,59
S00103367,59,6,5,4,4,40
S00103368,119,9,8,13,10,79
S00103369,132,9,13,14,6,90
S00103370,91,6,9,4,9,63
S00103371,75,5,7,8,7,48
S00103372,79,3,11,3,2,60
S00103373,119,13,5,25,6,70
S00103374,74,3,1,3,2,65
S00103375,113,2,8,18,2,83
S00103376,55,-,3,5,3,44
S00103377,82,6,5,10,6,55
S00103378,127,6,4,12,4,101
S00103379,83,5,5,7,3,63
S00103380,85,4,7,4,4,66
S00103381,96,5,8,15,9,59
S00103382,102,2,12,10,6,72
S00103383,90,4,8,6,8,64
S00103384,108,3,12,12,6,75
S00103385,77,7,15,11,5,39
S00103386,84,8,9,5,12,50
S00103387,65,2,3,10,8,42
S00103388,72,1,7,4,9,51
S00103389,100,6,9,16,4,65
S00103390,117,10,10,12,4,81
S00103391,60,3,3,11,3,40
S00103392,106,4,6,7,3,86
S00103393,89,16,13,12,6,42
S00103394,92,19,14,15,8,36
S00103395,58,17,4,8,1,28
S00103396,66,6,10,6,4,40
S00103397,76,16,15,13,3,29
S00103398,66,11,14,11,3,27
S00103399,71,12,10,8,5,36
S00103400,82,2,6,7,7,60
S00103401,54,6,8,6,6,28
S00103402,84,28,13,9,3,31
S00103403,71,1,6,6,3,55
S00103404,83,10,7,17,3,46
S00103405,113,4,11,18,8,72
S00103406,103,26,7,14,7,49
S00103407,64,1,7,3,3,50
S00103408,92,3,8,18,4,59
S00103409,90,1,9,5,4,71
S00103410,84,4,6,6,9,59
S00103411,65,2,2,6,4,51
S00103412,70,5,4,9,7,45
S00103413,95,20,15,9,14,37
S00103414,80,2,1,12,3,62
S00103415,110,6,14,9,6,75
S00103416,108,6,9,20,4,69
S00103417,62,3,1,16,3,39
S00103418,88,16,13,13,7,39
S00103419,81,15,9,7,6,44
S00103420,95,1,6,37,3,48
S00103421,79,2,4,18,4,51
S00103422,155,7,11,30,2,105
S00103423,108,2,7,27,5,67
S00103424,111,3,6,10,7,85
S00103425,69,5,3,9,5,47
S00103426,86,4,3,15,2,62
S00103427,82,2,7,22,2,49
S00103428,101,5,11,11,5,69
S00103429,91,4,7,8,9,63
S00103430,87,-,6,5,8,68
S00103431,70,2,2,5,3,58
S00103432,97,6,10,26,6,49
S00103433,85,1,10,26,5,43
S00103434,78,-,2,11,4,61
S00103435,57,-,3,23,3,28
S00103436,100,4,8,12,6,70
S00103437,92,1,3,21,5,62
S00103438,68,1,2,14,1,50
S00103439,71,-,1,6,-,64
S00103440,82,-,10,11,2,59
S00103441,86,3,6,17,5,55
S00103442,58,-,6,12,1,39
S00103443,123,2,12,8,1,100
S00103444,61,3,5,3,1,49
S00103445,126,13,12,24,14,63
S00103446,88,2,11,12,5,58
S00103447,69,4,11,13,6,35
S00103448,170,2,11,56,6,95
S00103449,86,1,9,15,2,59
S00103450,86,1,11,11,5,58
S00103451,111,2,4,24,2,79
S00103452,76,1,9,10,8,48
S00103453,126,-,11,14,8,93
S00103454,141,4,9,35,9,84
S00103455,66,3,3,7,11,42
S00103456,129,2,4,54,7,62
S00103457,79,1,4,7,3,64
S00103458,72,12,8,14,4,34
S00103459,107,2,4,11,4,86
S00103460,104,6,13,11,4,70
S00103461,65,6,2,5,6,46
S00103462,78,6,4,10,2,56
S00103463,70,2,4,8,2,54
S00103464,104,-,13,9,8,74
S00103465,55,-,6,4,9,36
S00103466,48,4,1,19,1,23
S00103467,58,1,6,7,6,38
S00103468,110,4,4,23,7,72
S00103469,70,4,7,10,5,44
S00103470,66,-,7,12,5,42
S00103471,106,-,5,48,11,42
S00103472,83,9,9,14,9,42
S00103473,62,6,8,7,4,37
S00103474,432,8,45,185,25,169
S00103475,72,7,4,23,10,28
S00103476,67,8,11,12,3,33
S00103477,54,20,8,7,5,14
S00103478,103,10,8,18,15,52
S00103479,85,14,9,11,8,43
S00103480,98,3,9,9,4,73
S00103481,96,3,6,18,10,59
S00103482,113,8,11,20,2,72
S00103483,62,5,5,8,5,39
S00103484,89,6,7,8,6,62
S00103485,111,5,12,18,7,69
S00103486,206,31,20,32,14,109
S00103487,123,4,15,20,9,75
S00103488,64,2,3,19,5,35
S00103489,143,20,26,27,10,60
S00103490,100,15,21,20,9,35
S00103491,76,10,10,10,6,40
S00103492,52,5,3,3,3,38
S00103493,64,6,9,4,2,43
S00103494,171,8,7,55,11,90
S00103495,66,8,4,12,1,41
S00103496,77,9,10,20,8,30
S00103497,97,11,12,12,11,51
S00103498,106,14,9,20,5,58
S00103499,139,3,7,33,9,87
S00103500,123,2,8,37,3,73
S00103501,108,10,10,26,9,53
S00103502,105,4,8,17,7,69
S00103503,101,10,13,27,5,46
S00103504,150,6,10,50,5,79
S00103505,128,3,7,43,9,66
S00103506,111,14,8,25,7,57
S00103507,91,-,5,30,4,52
S00103508,72,8,8,13,5,38
S00103509,88,-,8,26,4,50
S00103510,130,3,11,45,3,68
S00103511,81,24,15,9,10,23
S00103512,155,26,18,42,15,54
S00103513,120,4,18,37,7,54
S00103514,50,2,6,6,6,30
S00103515,131,13,10,27,15,66
S00103516,88,15,13,14,6,40
S00103517,69,5,5,17,1,41
S00103518,81,3,10,18,8,42
S00103519,167,7,15,67,16,62
S00103520,68,5,12,9,5,37
S00103521,77,2,4,5,5,61
S00103522,72,7,9,4,-,52
S00103523,111,7,10,16,7,71
S00103524,318,33,145,77,1,62
S00103525,102,7,10,14,6,65
S00103526,117,6,10,12,8,81
S00103527,125,15,14,9,4,83
S00103528,58,5,3,2,8,40
S00103529,55,1,4,2,4,44
S00103530,89,1,5,10,7,66
S00103531,66,8,4,3,5,46
S00103532,59,3,1,7,4,44
S00103533,71,8,1,7,4,51
S00103534,108,4,5,8,7,84
S00103535,83,5,1,8,6,63
S00103536,83,6,6,8,12,51
S00103537,79,1,3,14,3,58
S00103538,84,4,8,5,2,65
S00103539,79,1,5,6,7,60
S00103540,68,1,7,8,5,47
S00103541,91,4,5,11,1,70
