,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00103303,61,19,7,7,-,-,-,-,-,-,28,-
S00103304,153,46,19,8,-,-,-,-,-,-,72,8
S00103305,73,17,10,12,-,-,-,-,-,1,32,1
S00103306,86,43,-,12,-,-,-,-,-,-,28,3
S00103307,86,23,4,10,-,-,1,-,-,-,36,12
S00103308,78,17,21,5,-,-,-,2,-,-,30,3
S00103309,174,50,10,16,-,-,-,-,-,2,89,7
S00103310,57,19,-,2,-,-,4,-,-,-,22,10
S00103311,190,67,11,20,1,-,-,-,-,-,83,8
S00103312,122,42,12,26,-,-,1,1,-,-,31,9
S00103313,166,43,11,19,-,-,-,-,-,-,66,27
S00103314,90,8,9,4,-,-,2,8,-,1,55,3
S00103315,242,28,26,23,3,1,1,7,2,2,135,14
S00103316,246,19,26,27,3,1,-,23,1,1,120,25
S00103317,66,10,14,1,-,-,-,1,-,-,38,2
S00103318,125,25,13,10,1,6,-,-,-,-,64,6
S00103319,86,1,17,9,-,1,-,-,-,1,46,11
S00103320,117,7,12,11,5,-,-,2,2,-,68,10
S00103321,64,5,5,3,1,2,-,15,-,-,31,2
S00103322,68,9,6,4,2,2,1,-,-,-,39,5
S00103323,106,5,13,13,-,-,1,-,-,-,70,4
S00103324,67,4,2,16,-,-,-,-,-,-,45,-
S00103325,130,15,13,16,4,1,1,2,-,2,68,8
S00103326,106,6,11,17,-,-,-,6,-,4,47,15
S00103327,111,3,23,8,2,-,1,2,1,1,53,17
S00103328,69,17,14,5,2,-,-,5,-,-,23,3
S00103329,103,13,16,10,2,-,-,8,-,2,38,14
S00103330,53,10,7,10,-,-,-,-,-,4,20,2
S00103331,91,18,17,11,3,-,-,-,-,3,31,8
S00103332,251,6,24,23,9,7,4,13,1,2,146,16
S00103333,75,8,9,9,3,-,1,3,-,-,32,10
S00103334,60,6,8,8,-,-,-,-,-,-,33,5
S00103335,104,12,16,14,-,1,1,1,-,-,47,12
S00103336,87,3,13,3,2,-,-,2,-,-,49,15
S00103337,55,3,8,3,2,-,1,1,-,-,31,6
S00103338,158,14,14,32,2,-,1,4,1,1,72,17
S00103339,76,5,19,5,-,-,-,-,-,1,43,3
S00103340,81,12,7,8,-,1,1,4,-,-,44,4
S00103341,98,15,10,4,1,1,1,-,3,-,57,6
S00103342,127,11,24,14,-,2,1,-,-,-,68,7
S00103343,88,10,12,10,2,4,-,1,-,-,45,4
S00103344,159,7,16,24,2,-,1,2,-,1,91,15
S00103345,67,15,7,-,1,-,1,-,-,-,40,3
S00103346,94,17,19,8,1,-,2,-,-,-,41,6
S00103347,159,11,33,17,-,-,1,8,-,-,80,9
S00103348,109,15,20,20,3,1,-,3,-,2,37,8
S00103349,92,12,12,5,-,1,-,6,-,1,40,15
S00103350,98,11,11,6,1,2,1,3,1,1,49,12
S00103351,81,16,7,8,1,-,1,1,-,-,38,9
S00103352,73,6,10,9,-,-,-,-,1,-,43,4
S00103353,154,17,29,14,1,2,1,-,-,1,76,13
S00103354,110,13,7,12,-,-,-,-,-,-,62,16
S00103355,104,12,7,9,1,-,-,2,-,-,66,7
S00103356,80,32,7,2,-,-,-,-,-,-,30,9
S00103357,85,11,14,7,1,-,-,-,-,1,49,2
S00103358,99,12,18,6,-,1,-,2,-,1,55,4
S00103359,90,16,4,12,1,1,-,-,-,2,50,4
S00103360,134,46,19,23,-,-,-,-,-,-,36,10
S00103361,96,21,15,17,-,2,-,-,-,2,26,13
S00103362,95,16,4,14,1,-,-,-,-,-,55,5
S00103363,89,19,8,9,3,-,-,-,-,-,39,11
S00103364,121,41,13,11,-,-,-,8,3,-,44,1
S00103365,115,45,7,17,1,-,-,2,-,-,41,2
S00103366,119,54,9,7,-,-,2,5,3,1,31,7
S00103367,68,16,9,10,-,-,1,-,-,-,26,6
S00103368,139,34,15,10,2,-,-,-,-,-,63,15
S00103369,157,50,20,12,2,-,-,4,-,2,56,11
S00103370,103,17,4,11,-,-,-,-,-,1,66,4
S00103371,81,15,6,6,-,-,-,-,-,-,45,9
S00103372,88,16,7,9,-,-,2,1,-,2,42,9
S00103373,133,11,17,8,-,-,-,1,-,-,90,6
S00103374,76,10,14,16,-,11,-,1,-,1,15,8
S00103375,117,12,11,14,-,-,-,-,-,-,69,11
S00103376,58,6,7,3,-,-,-,3,-,-,33,6
S00103377,98,16,6,10,1,-,-,-,-,1,57,7
S00103378,134,24,18,19,2,-,-,1,-,-,68,2
S00103379,95,19,11,10,-,-,-,1,-,1,41,12
S00103380,96,8,9,5,2,-,-,-,-,-,62,10
S00103381,104,11,9,14,-,-,1,9,-,3,55,2
S00103382,108,5,15,15,-,-,-,-,1,1,60,11
S00103383,107,5,9,18,1,2,-,10,5,4,49,4
S00103384,129,14,14,8,-,11,-,5,-,-,64,13
S00103385,80,7,13,7,2,-,-,2,1,1,43,4
S00103386,89,14,14,8,-,10,-,-,-,2,34,7
S00103387,70,8,12,4,-,5,1,-,-,-,36,4
S00103388,79,6,10,9,-,6,-,-,-,-,38,10
S00103389,104,18,12,10,1,2,1,-,-,1,48,11
S00103390,137,21,9,25,3,-,-,7,-,1,58,13
S00103391,65,10,3,10,-,1,-,1,-,-,34,6
S00103392,125,22,13,23,-,-,1,15,-,-,49,2
S00103393,109,19,25,8,-,4,1,5,-,-,40,7
S00103394,102,41,4,4,-,-,-,-,1,-,42,10
S00103395,65,22,5,2,4,-,-,3,-,-,21,8
S00103396,70,22,6,4,1,-,-,4,-,-,27,6
S00103397,84,30,10,5,-,-,2,-,-,-,32,5
S00103398,84,17,4,5,-,-,-,6,-,-,48,4
S00103399,82,29,6,7,-,-,-,-,-,-,33,7
S00103400,90,12,14,14,-,-,-,-,-,-,42,8
S00103401,69,21,1,6,-,3,-,-,-,5,27,6
S00103402,84,45,5,12,-,-,-,-,-,2,13,7
S00103403,76,10,2,5,-,1,1,1,-,-,53,3
S00103404,84,14,13,3,-,-,-,1,-,-,46,7
S00103405,134,18,15,16,3,-,1,-,-,-,73,8
S00103406,125,48,14,9,-,-,-,-,-,1,44,9
S00103407,70,9,11,5,-,1,3,1,-,1,33,6
S00103408,104,19,12,18,7,-,-,-,-,-,36,12
S00103409,99,23,13,15,1,-,-,-,-,-,45,2
S00103410,97,23,13,16,2,1,-,1,-,-,33,8
S00103411,77,12,7,20,-,-,1,-,-,-,35,2
S00103412,77,17,2,22,-,1,-,-,-,-,27,8
S00103413,108,27,13,9,1,-,-,-,-,1,52,5
S00103414,85,10,6,16,-,-,2,1,-,2,43,5
S00103415,128,26,16,11,-,-,1,-,-,2,60,12
S00103416,116,22,16,11,-,-,-,-,-,-,59,8
S00103417,69,7,5,15,1,-,1,1,-,-,32,7
S00103418,91,13,9,6,2,-,2,-,-,3,49,7
S00103419,84,22,11,7,1,2,1,-,-,-,34,6
S00103420,99,10,17,14,1,1,-,-,-,-,52,4
S00103421,88,24,12,11,-,-,1,-,-,2,31,7
S00103422,174,40,19,28,-,-,-,3,-,-,68,16
S00103423,117,15,12,6,-,-,1,-,-,2,63,18
S00103424,134,43,10,21,1,-,1,1,-,-,44,13
S00103425,71,10,14,12,-,-,-,-,-,-,32,3
S00103426,96,17,16,20,-,-,-,-,-,-,29,14
S00103427,87,23,8,13,-,-,-,-,-,-,38,5
S00103428,103,28,10,4,5,-,-,2,-,1,46,7
S00103429,95,24,9,8,-,-,-,-,-,-,43,11
S00103430,98,12,6,8,-,6,1,1,-,1,56,7
S00103431,79,20,10,5,-,-,-,2,-,-,37,5
S00103432,104,17,12,21,-,-,-,1,-,-,41,12
S00103433,89,12,17,17,1,-,-,-,-,1,32,9
S00103434,80,17,5,13,-,-,-,-,-,-,41,4
S00103435,58,7,2,3,-,2,1,-,-,1,35,7
S00103436,106,11,9,11,-,-,-,2,-,-,68,5
S00103437,102,14,18,10,2,-,-,-,-,-,45,13
S00103438,74,8,10,10,-,-,-,2,-,-,40,4
S00103439,84,16,11,4,-,-,-,-,-,-,40,13
S00103440,82,13,11,8,-,1,-,2,-,-,42,5
S00103441,94,19,11,15,-,-,1,-,-,1,44,3
S00103442,62,10,11,7,-,1,-,1,-,-,29,3
S00103443,144,34,8,21,-,-,1,1,-,-,67,12
S00103444,65,13,6,13,-,-,-,-,-,-,31,2
S00103445,135,25,11,10,-,-,-,2,-,-,76,11
S00103446,91,5,14,12,-,-,1,-,-,-,43,16
S00103447,70,6,7,4,1,4,1,-,-,-,36,11
S00103448,186,33,19,31,-,-,3,-,-,-,93,7
S00103449,94,10,13,7,1,2,-,1,-,1,53,6
S00103450,98,16,20,17,1,-,-,-,-,1,34,9
S00103451,138,5,23,12,-,1,1,4,-,-,83,9
S00103452,86,24,9,15,-,-,1,-,-,1,34,2
S00103453,134,16,19,8,1,-,-,1,-,3,72,14
S00103454,148,13,14,18,1,-,1,-,5,-,87,9
S00103455,73,12,6,15,-,3,-,2,-,-,27,8
S00103456,135,7,15,9,-,-,-,2,1,-,93,8
S00103457,86,20,15,7,1,-,-,-,-,-,36,7
S00103458,74,26,14,8,-,-,-,-,-,-,23,3
S00103459,112,22,8,14,-,-,-,2,-,1,49,16
S00103460,108,18,15,11,1,-,-,11,-,1,49,2
S00103461,67,8,5,15,6,-,-,-,-,-,27,6
S00103462,91,20,9,8,-,-,-,-,-,-,47,7
S00103463,84,20,3,7,-,-,1,1,-,-,40,12
S00103464,116,12,18,9,1,2,-,1,-,-,63,10
S00103465,57,5,8,3,-,-,1,-,-,3,31,6
S00103466,51,4,6,2,-,1,-,9,-,1,26,2
S00103467,60,9,4,5,1,-,1,-,-,-,39,1
S00103468,116,6,23,14,-,-,-,4,-,1,66,2
S00103469,71,7,9,13,1,-,-,2,-,-,38,1
S00103470,71,5,9,12,-,3,-,-,-,-,35,7
S00103471,108,8,7,4,16,-,1,2,-,9,53,8
S00103472,87,13,7,4,4,1,-,3,-,-,49,6
S00103473,63,11,6,2,1,4,-,-,1,-,34,4
S00103474,437,44,53,43,13,1,-,14,-,4,243,22
S00103475,75,6,15,8,-,2,-,-,-,-,37,7
S00103476,76,9,11,2,1,-,-,2,-,-,46,5
S00103477,55,10,6,2,-,-,-,-,-,-,24,13
S00103478,112,11,15,10,-,-,1,6,-,1,59,9
S00103479,90,10,6,6,-,-,-,1,-,-,53,14
S00103480,109,9,19,10,-,1,-,1,-,-,65,4
S00103481,106,11,10,8,1,1,-,6,-,-,62,7
S00103482,141,14,16,14,1,-,2,5,-,-,78,11
S00103483,70,6,6,5,-,-,1,1,-,-,48,3
S00103484,98,14,7,10,1,-,-,-,-,-,53,13
S00103485,131,15,9,20,2,-,-,1,-,-,78,6
S00103486,238,23,62,23,-,2,1,8,-,2,95,22
S00103487,126,11,13,5,-,8,-,7,-,2,70,10
S00103488,72,3,5,5,2,4,-,-,-,2,44,7
S00103489,161,19,12,13,8,-,-,14,-,1,80,14
S00103490,103,18,13,9,-,1,-,3,1,1,45,12
S00103491,80,6,10,2,2,-,-,-,-,1,47,12
S00103492,53,4,9,4,-,2,-,2,-,2,28,2
S00103493,69,8,6,7,-,-,-,2,-,-,44,2
S00103494,176,13,22,20,-,1,2,6,-,3,95,14
S00103495,74,8,6,5,1,-,-,10,-,1,37,6
S00103496,77,12,16,6,3,-,-,-,-,-,35,5
S00103497,99,17,11,7,1,6,-,6,-,1,42,8
S00103498,115,8,13,7,2,1,-,9,1,1,65,8
S00103499,154,11,21,17,2,-,3,-,-,1,87,12
S00103500,131,11,18,11,-,2,-,1,-,1,78,9
S00103501,115,12,12,6,1,4,-,2,-,2,65,11
S00103502,105,8,13,11,-,3,-,-,-,1,60,9
S00103503,102,13,14,4,1,6,1,-,-,-,56,7
S00103504,165,20,10,11,-,-,5,-,-,1,110,8
S00103505,140,11,18,18,2,-,1,3,-,-,74,13
S00103506,119,10,14,9,-,3,-,1,-,-,73,9
S00103507,96,11,10,15,1,-,-,3,-,-,56,-
S00103508,80,10,7,6,3,-,-,1,-,1,39,13
S00103509,89,10,9,12,3,1,-,2,2,1,39,10
S00103510,131,5,22,25,3,-,1,10,1,-,59,5
S00103511,97,24,16,5,-,1,-,-,-,-,41,10
S00103512,163,14,13,11,3,-,-,5,-,2,98,17
S00103513,123,7,14,2,4,-,-,-,-,3,83,10
S00103514,50,4,8,5,2,2,-,-,-,2,24,3
S00103515,131,7,18,8,3,4,1,4,-,1,71,14
S00103516,92,7,12,7,9,-,2,3,-,1,46,5
S00103517,69,6,12,5,-,-,1,1,-,1,38,5
S00103518,89,6,16,14,1,2,-,-,-,-,40,10
S00103519,172,21,13,19,-,-,-,-,-,-,108,11
S00103520,68,7,8,7,-,1,-,3,-,1,38,3
S00103521,81,22,8,16,-,-,-,1,-,-,31,3
S00103522,81,15,9,6,1,2,1,-,-,1,35,11
S00103523,133,38,12,12,-,4,-,1,-,1,58,7
S00103524,480,88,61,84,5,2,-,4,2,2,185,47
S00103525,183,30,10,36,1,-,1,4,-,1,68,32
S00103526,142,35,13,19,1,7,1,-,-,-,53,13
S00103527,160,35,17,19,-,4,1,7,-,1,65,11
S00103528,66,6,7,11,1,-,-,1,-,-,37,3
S00103529,59,9,3,5,-,-,-,-,-,1,36,5
S00103530,95,17,9,6,1,-,-,4,-,-,55,3
S00103531,70,13,8,5,-,-,-,-,1,1,34,8
S00103532,59,9,8,8,-,-,-,-,-,-,20,14
S00103533,80,20,11,2,-,-,-,-,-,-,40,7
S00103534,121,31,9,20,2,1,-,-,-,-,45,13
S00103535,97,17,12,12,-,1,-,1,1,-,35,18
S00103536,93,32,18,4,-,-,-,-,-,1,36,2
S00103537,102,24,15,3,-,-,-,-,-,-,52,8
S00103538,96,27,13,9,-,1,-,1,-,-,41,4
S00103539,94,26,11,13,-,-,-,-,2,-,33,9
S00103540,89,28,14,10,-,-,-,-,-,-,34,3
S00103541,118,36,16,18,-,-,1,-,-,-,40,7
S00103542,117,24,15,11,1,-,1,-,-,2,50,13
S00103543,83,17,9,25,-,-,-,-,-,1,28,3
S00103544,114,15,6,14,-,1,-,4,-,-,63,11
S00103545,83,32,3,10,-,-,-,2,-,-,24,12
S00103546,96,7,9,13,2,-,-,-,-,-,54,11
S00103547,87,11,9,11,3,-,-,1,-,-,49,3
S00103548,111,18,16,18,2,2,-,-,-,-,49,6
S00103549,96,11,4,19,-,-,-,-,-,2,42,18
S00103550,112,10,10,17,-,-,-,1,-,1,61,12
S00103551,106,17,22,11,-,3,-,1,-,-,46,6
S00103552,94,12,10,7,1,-,-,3,-,-,54,7
S00103553,59,5,6,6,-,-,1,1,-,1,28,11
S00103554,58,6,8,8,1,1,-,1,-,1,25,7
S00103555,95,16,5,7,-,1,-,-,-,1,59,6
S00103556,89,15,10,6,-,2,-,2,-,-,50,4
S00103557,139,22,8,17,2,-,-,6,1,-,72,11
S00103558,124,37,11,14,2,-,-,1,-,-,50,9
S00103559,85,14,15,8,-,-,-,-,-,-,41,7
S00103560,85,13,9,5,3,-,-,1,-,-,50,4
S00103561,62,8,6,8,-,-,-,2,-,-,30,8
S00103562,69,15,12,7,-,-,-,2,-,1,31,1
S00103563,87,18,15,5,-,-,-,3,-,-,36,10
S00103564,80,23,7,6,1,-,-,-,-,1,36,6
S00103565,87,18,12,4,-,-,-,-,-,-,45,8
S00103566,69,11,5,6,-,-,-,-,-,-,42,5
S00103567,84,15,11,7,-,-,-,6,-,-,45,-
S00103568,69,10,10,7,-,-,1,-,-,-,31,10
S00103569,63,15,7,8,1,-,-,3,-,-,28,1
S00103570,86,34,6,10,-,-,-,2,-,-,30,4
S00103571,76,14,4,9,-,-,-,-,-,-,40,9
S00103572,167,45,33,6,-,-,2,-,-,1,73,7
S00103573,68,26,10,6,-,-,-,-,-,-,22,4
S00103574,161,51,12,15,1,-,-,4,-,-,69,9
S00103575,113,30,21,7,-,3,-,10,-,-,36,6
S00103576,117,44,15,4,-,-,-,-,-,1,50,3
S00103577,107,25,30,7,-,10,-,7,4,-,23,1
S00103578,100,40,3,8,1,3,-,-,-,-,40,5
S00103579,131,55,12,15,-,-,-,-,-,-,45,4
S00103580,94,34,3,11,-,-,-,-,-,-,32,14
S00103581,120,29,18,3,-,2,-,-,-,-,54,14
S00103582,190,35,19,1,-,1,-,7,-,-,114,13
S00103583,139,38,23,5,-,-,-,-,-,-,67,6
S00103584,162,39,8,2,-,-,-,5,-,2,92,14
S00103585,151,32,27,4,-,-,-,-,-,-,73,15
S00103586,150,40,33,6,-,-,-,-,-,-,67,4
S00103587,154,60,27,7,-,-,-,-,-,-,43,17
S00103588,123,34,24,2,1,2,-,2,-,2,50,6
S00103589,132,43,25,1,-,3,-,1,5,-,51,3
S00103590,128,37,16,9,-,-,-,6,-,-,50,10
S00103591,91,19,14,-,-,-,1,-,-,-,52,5
S00103592,108,33,12,-,-,1,-,2,-,-,53,7
S00103593,100,15,9,8,-,-,-,8,-,-,48,12
S00103594,118,19,9,2,-,4,-,-,-,-,81,3
S00103595,120,27,11,2,-,-,-,8,-,-,61,11
S00103596,114,35,19,1,-,3,-,-,-,-,53,3
S00103597,116,28,16,2,-,-,-,5,-,1,52,12
S00103598,100,37,18,5,-,-,-,-,-,-,38,2
S00103599,82,19,17,-,1,-,-,-,-,-,40,5
S00103600,115,26,18,8,-,-,-,4,-,-,50,9
S00103601,99,21,11,2,-,-,-,-,-,-,55,10
S00103602,104,34,14,6,-,-,-,2,-,-,42,6
S00103603,103,19,10,4,-,-,-,-,-,-,58,12
S00103604,67,22,12,-,-,-,-,-,-,-,30,3
S00103605,91,32,16,6,-,3,-,-,-,-,25,9
S00103606,92,26,14,3,-,3,-,3,-,1,41,1
S00103607,103,30,7,2,-,-,-,-,-,1,60,3
S00103608,106,38,11,8,-,-,-,-,-,-,45,4
S00103609,149,48,13,2,2,6,-,13,3,-,53,9
S00103610,70,13,5,2,-,-,-,-,-,2,35,13
S00103611,95,16,16,7,-,-,-,-,-,-,49,7
S00103612,110,28,10,12,-,2,-,1,-,-,49,8
S00103613,92,25,10,5,-,-,-,1,-,-,41,10
S00103614,80,25,8,7,-,-,-,-,-,-,33,7
S00103615,157,19,30,6,2,-,-,7,-,1,80,12
S00103616,86,16,4,6,-,3,-,10,-,-,45,2
S00103617,106,24,30,6,-,-,-,-,-,-,35,11
S00103618,123,38,13,7,2,-,-,-,-,-,63,-
S00103619,105,17,17,2,-,-,-,5,1,-,54,9
S00103620,118,24,14,12,-,-,-,5,-,-,53,10
S00103621,133,24,26,4,-,-,-,7,-,-,62,10
S00103622,55,22,10,-,-,-,-,-,-,-,15,8
S00103623,159,53,20,17,-,-,-,12,-,1,47,9
S00103624,109,34,15,11,-,-,-,-,-,1,40,8
S00103625,119,44,14,1,-,-,-,-,-,-,57,3
S00103626,85,38,7,6,-,-,-,-,4,-,30,-
S00103627,135,49,5,-,-,-,-,6,-,-,66,9
S00103628,64,12,13,3,-,-,-,2,-,-,29,5
S00103629,99,23,6,11,-,-,-,4,-,-,42,13
S00103630,116,24,10,14,-,-,-,-,-,-,53,15
S00103631,103,36,3,9,-,4,-,-,8,-,34,9
S00103632,124,44,6,9,1,-,-,6,-,-,52,6
S00103633,148,42,11,6,-,-,-,5,-,1,56,27
S00103634,91,23,8,12,-,-,-,-,-,-,45,3
S00103635,93,36,4,8,-,-,-,-,-,-,42,3
S00103636,119,39,20,7,-,-,-,-,-,-,46,7
S00103637,83,31,2,3,-,-,-,-,-,-,37,10
